epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8546727895736694,0.6261842846870422,1e-04,0.5266841650009155,1.771589756011963
1,0.9279929995536804,0.38815775513648987,1e-04,0.6587926745414734,1.0697226524353027
2,0.9514116644859314,0.2874819338321686,1e-04,0.8713910579681396,0.5247564911842346
3,0.9616984128952026,0.24432390928268433,1e-04,0.8836395740509033,0.4646202325820923
4,0.9838038682937622,0.16473044455051422,1e-04,0.9020122289657593,0.4426122307777405
5,0.9776756167411804,0.1675449162721634,1e-04,0.913385808467865,0.3957826495170593
6,0.97286057472229,0.15583565831184387,1e-04,0.9396325349807739,0.246807262301445
7,0.9866491556167603,0.10902630537748337,1e-04,0.9650043845176697,0.1629658192396164
8,0.9866491556167603,0.09367174655199051,1e-04,0.9755030870437622,0.1259341537952423
9,0.9840227365493774,0.08803201466798782,1e-04,0.9728783965110779,0.1373884379863739
10,0.9833661913871765,0.08259415626525879,1e-04,0.98600172996521,0.08521470427513123
11,0.9899321794509888,0.049802057445049286,1e-04,0.9308836460113525,0.19630762934684753
12,0.9916830658912659,0.05065087229013443,1e-04,0.9790025949478149,0.09288236498832703
13,0.9884001016616821,0.050724372267723083,1e-04,0.7384076714515686,0.7884778380393982
14,0.9897133111953735,0.038729727268218994,1e-04,0.9711285829544067,0.10978294163942337
15,0.992777407169342,0.02645430527627468,1e-05,0.9912511110305786,0.052456848323345184
16,0.9980301856994629,0.013898803852498531,1e-05,0.9877515435218811,0.05159519612789154
17,0.9984679222106934,0.011577705852687359,1e-05,0.9895012974739075,0.04522443935275078
18,0.9973735809326172,0.013290716335177422,1e-05,0.9895012974739075,0.04972638934850693
19,0.9991245269775391,0.008423478342592716,1e-05,0.9912511110305786,0.050044529139995575
20,0.9986867904663086,0.009468764066696167,1e-05,0.9921259880065918,0.04361376538872719
21,0.9986867904663086,0.008695730939507484,1e-05,0.9921259880065918,0.04199858009815216
22,0.9969358444213867,0.01356795895844698,1e-05,0.993000864982605,0.04142693802714348
23,0.9991245269775391,0.007460182067006826,1e-05,0.9938757419586182,0.040379349142313004
24,0.9991245269775391,0.006180641241371632,1e-05,0.993000864982605,0.04297129437327385
25,0.9975924491882324,0.00888156145811081,1e-05,0.9938757419586182,0.04044446721673012
26,0.9989056587219238,0.004965003114193678,1e-05,0.9947506785392761,0.04029326140880585
